"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"95","MISSING",NA,"METASTATIC BREAST CANCER","TK1, CDK9, CDK4","gene expression,   gene expression, gene expression","positive, positive, positive","AND, AND","patients","31346846","Overexpression of TK1 and CDK9 in plasma-derived exosomes is associated with clinical resistance to CDK4/6 inhibitors in metastatic breast cancer patients.","The present study demonstrates that, in plasma-derived exosomes, high baseline CDK4 mRNA levels are associated with response to palbociclib plus hormonal therapy, while the increase in TK1 and CDK9 mRNA copies/ml is associated with clinical resistance.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31346846",NA,"NA","NA","ENSG00000167900, ENSG00000136807, ENSG00000135446","EFO_1000984","TK1 GENE EXPRESSION POSITIVE AND CDK9 GENE EXPRESSION POSITIVE AND CDK4 GENE EXPRESSION POSITIVE","failed drug"
"96","MISSING",NA,"METASTATIC BREAST CANCER","MTHFR, TYMS, MTHFR, MTHFR","polymorphism, polymorphism, polymorphism, polymorphism","positive, positive, positive, positive","AND, AND, AND","patients","31601265","Polymorphisms of MTHFR and TYMS predict capecitabine-induced hand-foot syndrome in patients with metastatic breast cancer.","We have identified four potentially useful pharmacogenetic markers, TYMS rs2606241, TYMS rs2853741, MTHFR rs3737964, and MTHFR rs4846048 to predict capecitabine-induced HFS in MBC patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31601265",NA,"NA","NA","ENSG00000177000, ENSG00000176890","EFO_1000984","failed","failed drug,failed term"
"97","MISSING",NA,"INVASIVE BREAST CANCER","claudins,cadherin","protein expression,   protein expression","positive, positive","AND, AND","patients","31572543","Impact of chemotherapy on the expression of claudins and cadherins in invasive breast cancer.","These findings indicate that claudins-1 and -3 serve a role in the response of BC to chemotherapy.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31572543",NA,"NA","NA","NA, ENSG00000039068","EFO_1000307","failed","failed drug,failed biomarker,failed term"
"98","PAN-PI3K INHIBITOR, BUPARLISIB, LETROZOLE",NA,"ER+ METASTATIC BREAST CANCER","ER, PIK3CA, MAP3K1","protein expression, mutation, mutation","positive, positive, positive","AND, AND, AND","patients","31552290","PIK3CA and MAP3K1 alterations imply luminal A status and are associated with clinical benefit from pan-PI3K inhibitor buparlisib and letrozole in ER+ metastatic breast cancer.","Mutations in MAP3K1 in ER+ breast cancer may be associated with clinical benefit from combined inhibition of PI3K and ER","https://www.ncbi.nlm.nih.gov/pubmed/?term=31552290",NA,"NA,DB11666,DB01006","NA, 16654980, 3902","ENSG00000091831, ENSG00000121879, ENSG00000095015","MONDO_0007254","failed","failed drug,failed term"
"99","NIRAPARIB, PEMBROLIZUMAB",NA,"ADVANCED TRIPLE-NEGATIVE BREAST CANCER","BRCA","mutation","positive",NA,"patients","31194225","Open-Label Clinical Trial of Niraparib Combined With Pembrolizumab for Treatment of Advanced or Metastatic Triple-Negative Breast Cancer.","Combination niraparib plus pembrolizumab provides promising antitumor activity in patients with advanced or metastatic TNBC, with numerically higher response rates in those with tumor BRCA mutations.","https://www.ncbi.nlm.nih.gov/pubmed/31194225",NA,"DB11793,DB09037","24958200, NA","ENSG00000012048","MONDO_0007254","BRCA MUTATION POSITIVE","pass"
"100","NA",NA,"BREAST CANCER","Ki-67, p53,BCL-2","protein expression,   protein expression, protein expression","positive,positive,positive","AND,AND","patients","31289309","Ki-67, p53 and BCL-2 Expressions and their Association with Clinical Histopathology of Breast Cancer among Women in Tanzania.","Multinomial linear regression showed higher possibility for association between high expression of Ki-67, low expression of p53 and high expression of BCL-2 with age, grade, stage and tumor (T) stage 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31289309","No drug was mentioned in the abstract.","NA","56956252","ENSG00000148773, ENSG00000141510, ENSG00000171791","MONDO_0007254","KI-67 PROTEIN EXPRESSION POSITIVE AND P53 PROTEIN EXPRESSION POSITIVE AND BCL-2 PROTEIN EXPRESSION POSITIVE","pass"
"101","NA",NA,"BREAST CANCER","EphB1,EphB2,EphB3, 
EphB4, EphB6","protein expression, protein expression, protein expression, protein expression, protein expression","positive,
positive, positive, positive, positive","OR,OR,OR,OR","patients","31289549","Prognostic value of ephrin B receptors in breast cancer: An online survivalanalysis using the microarray data of 3,554 patients.","The results of the present suggested that EphB receptors may be useful as prognostic biomarkers of breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31289549","No drug was mentioned in the abstract.","NA","56956252","ENSG00000154928, ENSG00000133216, ENSG00000182580, ENSG00000196411, ENSG00000106123","MONDO_0007254","EPHB1 PROTEIN EXPRESSION POSITIVE OR EPHB2 PROTEIN EXPRESSION POSITIVE OR EPHB3 PROTEIN EXPRESSION POSITIVE OR EPHB4 PROTEIN EXPRESSION POSITIVE OR EPHB6 PROTEIN EXPRESSION POSITIVE","pass"
"102","NA",NA,"BREAST CANCER","CD 274, IL8,TGFβ1, MIF,
 VEGFA","protein expression, protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive, positive","OR,OR,OR,OR","basal-like breast cancer cell lines and tissue samples.","31293831","Screening of immunosuppressive factors for biomarkers of breast cancer malignancy phenotypes and subtype-specific targeted therapy.","IL8,TGFβ1, MIF and VEGFA could be used as biomarkers for breast cancer prognosis.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31293831","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000164850, NA, ENSG00000240972, ENSG00000112715","MONDO_0007254","CD 274 PROTEIN EXPRESSION POSITIVE OR IL8 PROTEIN EXPRESSION POSITIVE OR TGFΒ1 PROTEIN EXPRESSION POSITIVE OR MIF PROTEIN EXPRESSION POSITIVE OR VEGFA PROTEIN EXPRESSION POSITIVE","failed biomarker"
"103","CARBOPLATIN, CISPLATIN, OXALIPLATIN",NA,"BREAST CANCER","BRCA1, BRCA2, p53, p63, p73","gene mutation, gene mutation, protein expression, protein expression, protein expression","positive,positive, positive, positive, positive","OR,AND, OR, OR","patients","31295913","Platinum Salts in Patients with Breast Cancer: A Focus on Predictive Factors.","The association between BRCA1/2 gene mutations and platinum sensitivity has been largely described.Moreover, p53 and its family members (p63 and p73) might also be used as predictors of platinum response.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31295913","This is a review. Biomarker relationhips were not clearly stated in the abstract.","DB00958,DB00515,DB00526","56840877, 135804801, 71301229","ENSG00000012048, ENSG00000139618, ENSG00000141510, ENSG00000073282, ENSG00000078900","MONDO_0007254","BRCA1 GENE MUTATION POSITIVE OR BRCA2 GENE MUTATION POSITIVE AND P53 PROTEIN EXPRESSION POSITIVE OR P63 PROTEIN EXPRESSION POSITIVE OR P73 PROTEIN EXPRESSION POSITIVE","pass"
"104","NA",NA,"METASTATIC BREAST CANCER","PIK3CA","gene mutation","positive",NA,"patients","31297647","PIK3CA mutations early persistence in cell-free tumor DNA as a negative prognostic factor in metastatic breast cancer patients treated with hormonal therapy.","PIK3CA gene mutation is one of the most frequent events in mBC and is associated with HT resistance.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31297647","No drug was mentioned in the abstract.","NA","56956252","ENSG00000121879","EFO_1000984","PIK3CA GENE MUTATION POSITIVE","pass"
"105","NA",NA,"METASTATIC BREAST CANCER","miR-106b","gene expression","positive",NA,"patients","31300482","Incorporating MicroRNA into Molecular Phenotypes of Circulating Tumor Cells Enhances the Prognostic Accuracy for Patients with Metastatic Breast Cancer.","The phenotypic assemblies of CTC incorporating miR-106b show enhanced
prognostic accuracy of overall survival in patients with MBC
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31300482","No drug was mentioned in the abstract.","NA","56956252","NA","EFO_1000984","MIR-106B GENE EXPRESSION POSITIVE","failed biomarker"
"106","ANTHRACYCLINE",NA,"BREAST CANCER","TOP2α, ERBB2","gene expression,  gene expression","positive, positive","AND","feline mammary tumors","31301170","Assessment of ERBB2 and TOP2α gene status and expression profile in feline mammary tumors: findings and guidelines.","Results showed that ERBB2 and TOP2α gene status are highly correlated (r=0.87, p<0.0001, n=25), with few tumor samples presenting amplification.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31301170","Drug names are mentioned in the abstract.","NA","NA","NA, ENSG00000141736","MONDO_0007254","TOP2Α GENE EXPRESSION POSITIVE AND ERBB2 GENE EXPRESSION POSITIVE","failed drug,failed biomarker"
"107","NA",NA,"BREAST CANCER",NA,NA,NA,NA,NA,"31306700","Evaluating the glycophenotype on breast cancer tissues with quantum dots-Cramoll lectin conjugates.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31306700","No drug and biomarker was mentioned in the abstract.","NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"108","NA",NA,"BREAST CANCER","ESR1, PGR, ERBB2, BRCA1, BRCA2
CLDN3, CK5, CK14","protein expression, protein expression, protein expression, mutation, mutation,  protein expression, protein expression, protein expression","negative, negative, negative, positive, positive, positive, positive, positive","missing,missing,missing,AND/OR,AND/OR, AND/OR,AND/OR","patients","31307407","Association of Cytokeratin 5 and Claudin 3 expression with BRCA1 and BRCA2 germline mutations in women with early breast cancer.","Our data suggests that CLDN3, CK5, and CK14 in combination with ER, PR and HER2 are associated with BRCA1 mutation status
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31307407","No drug was mentioned in the abstract,   complicated loical relationship.","NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000012048, NA, NA, NA","MONDO_0007254","failed","failed term"
"109","NA",NA,"BREAST CANCER","ERBB2","protein expression","positive",NA,"patients","31307703","Femtomolar electroanalysis of a breast cancer biomarker HER-2/neu protein in human serum by the cellulase-linked sandwich assay on magnetic beads.","In cancer diagnostics, specific analysis of blood-circulating proteins biomarkers of cancer is often complicated both by their inherently low concentrations and by strong interference from serum/blood proteins.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31307703","No drug was mentioned in the abstract.","NA","56956252","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"110","NA",NA,"BREAST CANCER","Let-7a-5p,miRNA-21-5p","gene expression, gene expression","positive, positive","OR","patients","31308028","Clinical Significance of let-7a-5p and miR-21-5p in Patients with Breast Cancer.","Reduced expression of Let-7a-5p and miR-21-5p levels is of little
value for early diagnosis of breast cancer; however reduced expression of Let-7a-5p and miRNA-21-5p may serve as non-invasive biomarkers for the diagnosis  of breast cancer metastasis, and combination of these markers with CEA and CA15-3 can help to distinguish benign breast lesions from breast cancer
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31308028","No drug was mentioned in the abstract.","NA","56956252","NA, NA","MONDO_0007254","LET-7A-5P GENE EXPRESSION POSITIVE OR MIRNA-21-5P GENE EXPRESSION POSITIVE","failed biomarker"
"111","NA",NA,"BREAST CANCER","SARNP(Hcc-1 and CIP29)","protein expression","positive",NA,"mice","31313837","SARNP, a participant in mRNA splicing and export, negatively regulates E-cadherin expression via interaction with pinin.","The SARNP overexpression induced the proliferation of
MCF7 cells, whereas its knockdown induced E-cadherin expression and downregulated
vimentin and N-cadherin expressions in SK-BR-3 and MDA-MB-231 cells.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31313837","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","SARNP(HCC-1 AND CIP29) PROTEIN EXPRESSION POSITIVE","failed biomarker"
"112","NA",NA,"BREAST CANCER",NA,NA,NA,NA,NA,"31315912","An Environmental Scan of Biopsychosocial and Clinical Variables in Cohort Studies.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31315912",NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"113","TRASTUZUMAB, TAXANE",NA,"BREAST CANCER","ERBB2","protein expression","positive",NA,"patients","31318460","Trastuzumab emtansine with or without pertuzumab versus trastuzumab with taxane for human epidermal growth factor receptor 2-positive advanced breast cancer: Final results from MARIANNE.","In the phase 3 MARIANNE trial, trastuzumab emtansine (T-DM1) with or  without pertuzumab showed noninferior progression-free survival and better
tolerability than trastuzumab plus a taxane (HT) for the first-line treatment of  human epidermal growth factor receptor 2 (HER2)-positive advanced breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31318460","Drug names are mentioned in the abstract.","DB00072,NA","3001322, 9548828","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"114","ESTROGEN, PROGESTERONE","human epidermal growth factor 2 receptors","BREAST CANCER","ESR1, PGR,ERBB2","protein expression, protein expression, protein expression","positive, positive, positive","OR,OR","patients","31319941","Evaluate Cutpoints: Adaptable continuous data distribution system for determining survival in Kaplan-Meier estimator.","Example algorithm cutp showed that lowered expression of ESR1 and ERBB2 was more favorable , whereas heightened PGR expression was correlated with better prognosis.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31319941","Drug names are mentioned in the abstract.","NA,DB00396","448537, 5994","ENSG00000091831, ENSG00000082175, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE OR PGR PROTEIN EXPRESSION POSITIVE OR ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"115","NA","KYNU","BREAST CANCER","Kynureninase(KYNU), ESR1, PGR, ERBB2, E-cad, Ki-67","gene expression, protein expression, protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive, positive, positive","AND,AND,AN,/AND,AND","patients","31332944","A novel role of kynureninase in the growth control of breast cancer cells and its relationships with breast cancer.","Kynureninase may function as a tumour suppressor in BC.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31332944","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000039068, ENSG00000148773","MONDO_0007254","KYNURENINASE(KYNU) GENE EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE AN ERBB2 PROTEIN EXPRESSION POSITIVE /AND E-CAD PROTEIN EXPRESSION POSITIVE AND KI-67 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"116","NA",NA,"HEMATOLOGIC
MALIGNANCIES AND BREAST CANCER.","NLR,MLR","others","positive, positive","OR","patients","31339198","Association of preoperative monocyte-to-lymphocyte and neutrophil-to-lymphocyte ratio with recurrence-free and overall survival after resection of pancreatic neuroendocrine tumors (US-NETSG)","In addition to established tumor-specific factors, preoperative NLR
levels can serve as a valuable biomarker that can be used as a predictor of OS and RFS after resection of PNETs.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31339198","No drug was mentioned in the abstract.","NA","56956252","ENSG00000179583, ENSG00000151623","MONDO_0007254","failed","failed term"
"117","NA",NA,"T1-3, N0 BREAST CANCER","ALDH1A3, CD44+/CD24-, ITGA6,PROCR
","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive","OR,OR,OR","BCSCs","31340763","A multiple breast cancer stem cell model to predict recurrence of T1-3, N0 breast cancer.","The RRS model can be applied to predict the relapse risk in early
stage breast cancer. As such, high RRS score ER-positive patients do not benefit  from hormonal therapy treatment.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31340763","No drug was mentioned in the abstract.","NA","56956252","ENSG00000184254, NA, ENSG00000091409, ENSG00000101000","MONDO_0007254","ALDH1A3 PROTEIN EXPRESSION POSITIVE OR CD44+/CD24- PROTEIN EXPRESSION POSITIVE OR ITGA6 PROTEIN EXPRESSION POSITIVE OR PROCR PROTEIN EXPRESSION POSITIVE","pass"
"118","NA",NA,"BREAST CANCER","ER,PR, ERBB2","protein expression, protein expression, protein expression","positive, positive, positive","OR,OR","patients","31348505","Artificial Intelligence Algorithms to Assess Hormonal Status From Tissue Microarrays in Patients With Breast Cancer.","Morphological-based molecular profiling could be used as a general
approach for mass-scale molecular profiling based on digitized H&E-stained images, allowing quick, accurate, and inexpensive methods for simultaneous profiling of multiple biomarkers in cancer tissues.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31348505","No drug was mentioned in the abstract.","NA","56956252","ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","ER PROTEIN EXPRESSION POSITIVE OR PR PROTEIN EXPRESSION POSITIVE OR ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"119","VITAMIN D",NA,"BREAST CANCER","FokI, BsmI, ApaI,TaqI,TAC","polymorphism, polymorphism, polymorphism, polymorphism, protein expression","positive, positive, positive,positive, positive","OR,OR,OR,OR","patients and mice","31350967","Genetic Variations in VDR could Modulate the Efficacy of Vitamin D3 Supplementation on Inflammatory Markers and Total Antioxidant Capacity among Breast Cancer Women: A Randomized Double Blind Controlled Trial.","Supplementation with a vitamin D3 increased the TAC in breast cancer
women, although it had no effect on inflammatory markers. Serum TAC in the TT/Tt, Ff were more responsive to vitamin D supplement compared with those with the
FF/ff and tt genotypes.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31350967","Drug names are mentioned in the abstract.","DB11094","5280795","NA, NA, NA, NA, ENSG00000134460","MONDO_0007254","FOKI POLYMORPHISM POSITIVE OR BSMI POLYMORPHISM POSITIVE OR APAI POLYMORPHISM POSITIVE OR TAQI POLYMORPHISM POSITIVE OR TAC PROTEIN EXPRESSION POSITIVE","failed biomarker"
"120","NA",NA,"BREAST CANCER","ESR1","protein expression","positive/neagtive",NA,"patients and mice","31351853","Self-reported residential pesticide use and survival after breast cancer.","Contrary to our hypothesis, lifetime residential use of lawn and garden pesticides, but not all combined or nuisance-pest pesticides, was
inversely associated with all-cause mortality after breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31351853",NA,"NA","56956252","ENSG00000091831","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE/NEAGTIVE","pass"
"121","NA",NA,"BREAST CANCER","Ki-67, ERBB2, H-MRS","protein expression, protein expression, others","positive, positive, positive","OR,OR","patients","31356383","Breast Magnetic Resonance Spectroscopy at 3 T in Biopsy-Proven Breast Cancers: Does Choline Peak Correlate With Prognostic Factors?","Our study confirms that 3 T breast H-MRS can be a valid additional tool to obtain further information about breast cancer biology and to predict tumor aggressiveness
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31356383","No drug was mentioned in the abstract.","NA","56956252","ENSG00000148773, ENSG00000141736, NA","MONDO_0007254","KI-67 PROTEIN EXPRESSION POSITIVE OR ERBB2 PROTEIN EXPRESSION POSITIVE OR H-MRS OTHERS POSITIVE","pass"
"122","NA",NA,"BREAST CANCER","uPA,uPAR,PAI-1,PAI-2","protein expression, protein expression, protein expression, protein expression,","positive, positive, positive, positive","AND,AND,AND","patients","31359505","Relationships of protein biomarkers of the urokinase plasminogen activator system with expression of their cognate genes in primary breast carcinomas.","ER and PR protein of primary breast 
cancers combined with analyses of uPA, uPAR, and PAI-1 protein content improves assessment of clinical outcomes.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31359505","No drug was mentioned in the abstract.","NA","56956252","ENSG00000122861, ENSG00000011422, ENSG00000106366, ENSG00000197632","MONDO_0007254","UPA PROTEIN EXPRESSION POSITIVE AND UPAR PROTEIN EXPRESSION POSITIVE AND PAI-1 PROTEIN EXPRESSION POSITIVE AND PAI-2 PROTEIN EXPRESSION POSITIVE","pass"
"123","NA",NA,"BREAST CANCER","cfDNA, CIN","gene expression, gene expression","positive, positive","OR","patients","31364001","Plasma cell-free DNA chromosomal instability analysis by low-pass whole-genome sequencing to monitor breast cancer relapse.","cfDNA CIN yields a higher accuracy in monitoring breast cancer recurrence compared to traditional biomarkers (CA15-3 and CEA), especially for biomarker-negative patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31364001","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000241360","MONDO_0007254","CFDNA GENE EXPRESSION POSITIVE OR CIN GENE EXPRESSION POSITIVE","failed biomarker"
"124","NA",NA,"BREAST CANCER","ERBB2,ESR1,PGR","protein expression, protein expression, protein expression","positive, positive, positive","AND,AND","patients","31373514","Breast Cancer Biomarkers: Challenges in Routine Estrogen Receptor, Progesterone Receptor, and HER2/neu Evaluation.","Evaluation of estrogen receptor (ER), progesterone receptor (PR), and HER2/neu (HER2) biomarkers is standard of care for all cases of newly diagnosed invasive, recurrent, and metastatic breast cancer. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31373514","No drug was mentioned in the abstract.","NA","56956252","ENSG00000141736, ENSG00000091831, ENSG00000082175","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND ESR1 PROTEIN EXPRESSION POSITIVE AND PGR PROTEIN EXPRESSION POSITIVE","pass"
"125","NA",NA,"BREAST CANCER","TXN, ANXA 2,
LOXL2, TPM4, 
TPRN, ADCY6, 
TUBA1C,CMIP","gene expression, gene expression, gene expression, gene expression, gene expression,gene expression","positive,positive, positive,positive, positive,positive, positive,positive","AND,
AND,
AND,
AND","patients","31382519","Identification of Prognostic Candidate Genes in Breast Cancer by Integrated Bioinformatic Analysis.","In the present study, eight candidate biomarkers were identified for
further basic and advanced understanding of the molecular pathogenesis of breast cancer by using co-expression network analysis.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31382519","No drug was mentioned in the abstract.","NA","56956252","ENSG00000136810, NA, ENSG00000134013, ENSG00000167460, ENSG00000176058, ENSG00000174233, ENSG00000167553, ENSG00000153815","MONDO_0007254","failed","failed term"
"126","NA",NA,"BREAST CANCER","ESR1,ERBB2","protein expression, protein expression","positive, positive","AND","patients","31385051","Diffusion-weighted MRI of estrogen receptor-positive, HER2-negative, node-negative breast cancer: association between intratumoral heterogeneity and recurrence risk.","The ADC difference value derived from whole-lesion histogram analysis might serve as a quantitative DWI biomarker of the recurrence risk in women with ER-positive, HER2-negative, node-negative invasive breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31385051","No drug was mentioned in the abstract.","NA","56956252","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"127","NA",NA,"BREAST CANCER","HR, HER2","protein expression, protein expression, protein expression","positive, positive","AND","patients","31386016","Biological subtypes and survival outcomes in breast cancer patients with brain metastases in the targeted therapy era.","Comparing all breast cancer subgroups we noticed that HR and HER2 are the most significant biomarkers in brain metastasis behavior. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31386016","No drug was mentioned in the abstract.","NA","56956252","ENSG00000168453, ENSG00000141736","MONDO_0007254","failed","failed term"
"128","NA",NA,"BREAST CANCER","FOXM1","protein expression","positive",NA,"21T series cell lines","31391072","Dynamically decreased miR-671-5p expression is associated with oncogenic transformation and radiochemoresistance in breast cancer.","Deciphering the molecular mechanisms during BC progression is therefore crucial to prevent over- 
or under-treatment.
","https://www.ncbi.nlm.nih.gov/pubmed/?term= 31391072","Drug names are mentioned in the abstract.","NA","56956252","ENSG00000111206","MONDO_0007254","FOXM1 PROTEIN EXPRESSION POSITIVE","pass"
"129","NA",NA,"BREAST CANCER","miR-200","gene expression","positive",NA,"patients","31394177","Integrative data mining and meta-analysis to investigate the prognostic role of microRNA-200 family in various human malignant neoplasms: A consideration on heterogeneity.","Our results convincingly demonstrated that the miR-200 family could  serve as a prognostic biomarker for cancers mentioned above and has potential value in clinical practice. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31394177","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","MIR-200 GENE EXPRESSION POSITIVE","failed biomarker"
"130","CDK4/ 6INHIBITOR",NA,"BREAST CANCER","Rb, cyclin, E1, PIK3CA","others, others, others, others","positive, positive, positive, positive","OR,OR,OR","patients","31396487","Mechanisms of Resistance to CDK4/6 Inhibitors: Potential Implications and Biomarkers for Clinical Practice.","Here we present selected mechanisms of resistance to CDK4/6 inhibitors, largely focussing on roles of Rb, cyclin E1, and the PIK3CA pathway, with discussion of associated biomarkers which have been investigated and applied in recent pre-clinical and clinical studies
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31396487","Drug names are mentioned in the abstract.","NA","NA","ENSG00000139687, ENSG00000145386, ENSG00000114200, ENSG00000121879","MONDO_0007254","RB OTHERS POSITIVE OR CYCLIN OTHERS POSITIVE OR E1 OTHERS POSITIVE OR PIK3CA OTHERS POSITIVE","failed drug"
"131","NA",NA,"BREAST CANCER","miRs,TSmiRs","gene expression, gene expression","positive, positive","OR","patients","31400480","Effect of a high-intensity interval training on serum microRNA levels in women with breast cancer undergoing hormone therapy. A single-blind randomized trial.","HITT could amplify the decrease and/or increase in expression of
miRs associated with HT in women with breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term= 31400480","Drug names are mentioned in the abstract.","NA","56956252","NA, NA","MONDO_0007254","MIRS GENE EXPRESSION POSITIVE OR TSMIRS GENE EXPRESSION POSITIVE","failed biomarker"
"132","NA",NA,"BREAST CANCER","PRDXs","gene expression","positive",NA,"patients","31402980","Comprehensive analysis of peroxiredoxins expression profiles and prognostic values in breast cancer.","Our findings systematically elucidate the expression profiles and
distinct prognostic values of PRDXs in BrCa, which might provide novel
therapeutic targets and potential prognostic biomarkers for BrCa patients.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31402980","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","PRDXS GENE EXPRESSION POSITIVE","failed biomarker"
"133","NA",NA,"BREAST CANCER",NA,NA,NA,NA,NA,"31406940","The cardiotoxicity effect of different chemotherapeutic regimens in Iraqi patients with breast cancer: A follow up study.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31406940",NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"134","NA",NA,"INVASIVE BREAST CANCER",NA,NA,NA,NA,NA,"31414006","Racial Disparity Among Women Diagnosed With Invasive Breast Cancer in a Large Integrated Health System.",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31414006",NA,"NA","56956252","ENSG00000183023","EFO_1000307","NA NA NA","no biomarker"
"135","NA",NA,"CHRONIC LOW-GRADE
INFLAMMATION AND CANCER.","IL-6,CRP
","protein expression, protein expression
","positive, positive","OR
","patients","31414667","Association Between the Use of a Mobile Health Strategy App and Biological Changes in Breast Cancer Survivors: Prospective Pre-Post Study.","In conclusion, through the results of this study, we hypothesize that there is a possible association between an mHealth energy balance monitoring strategy and biological changes in BCSs. 
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31414667","No drug was mentioned in the abstract.","NA","56956252","ENSG00000136244, ENSG00000132693","MONDO_0016680","IL-6 PROTEIN EXPRESSION POSITIVE OR CRP PROTEIN EXPRESSION POSITIVE","pass"
"136","NA",NA,"OVARIAN CANCER",NA,NA,NA,NA,"patients","31419925","Translational Theragnostic of Ovarian Cancer: Where do we stand?",NA,"https://www.ncbi.nlm.nih.gov/pubmed/?term=31419925","No drug was mentioned in the abstract.","NA","56956252","ENSG00000183023","MONDO_0008170","NA NA NA","no biomarker"
"137","NA",NA,"BREAST CANCER","miR-155,MAPK7","gene expression, gene expression","positive, positive","AND","patients","31424663","MicroRNA-155regulates the proliferation and metastasis of human breast cancers by targeting MAPK7.","Bioinformatic analysis revealed MAPK7 to be the potential target of miR-155.Taken together, miR-155 may prove essential in the management of
breast cancer.
","https://www.ncbi.nlm.nih.gov/pubmed/?term=31424663","No drug was mentioned in the abstract.","NA","56956252","NA, ENSG00000166484","MONDO_0007254","MIR-155 GENE EXPRESSION POSITIVE AND MAPK7 GENE EXPRESSION POSITIVE","failed biomarker"
